year,index,player_url,TEAM,LEAGUE,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO,GO/AO,TB,IBB,BABIP,AB/HR
2007,13,,Colorado Rockies,NL,163,5691,860,1591,313,36,171,823,622,1152,100,31,0.28,0.354,0.437,0.791,6498,58,83,44,140,1587,1.07,2489,51,0.322,33.28
2007,13,,Oakland Athletics,AL,162,5577,741,1430,295,16,171,711,664,1119,52,20,0.256,0.338,0.407,0.745,6365,49,18,56,142,1457,0.89,2270,29,0.29,32.61
2007,13,,San Diego Padres,NL,163,5612,741,1408,322,31,171,704,557,1229,55,24,0.251,0.322,0.411,0.733,6326,49,64,44,113,1475,0.92,2305,45,0.291,32.82
2007,17,,Houston Astros,NL,162,5605,723,1457,293,30,167,700,547,1043,65,33,0.26,0.33,0.412,0.742,6324,55,77,40,142,1608,1.0,2311,40,0.291,33.56
2007,18,,Boston Red Sox,AL,162,5589,867,1561,352,35,166,829,689,1042,96,24,0.279,0.362,0.444,0.806,6426,64,30,54,146,1500,0.96,2481,54,0.315,33.67
2007,19,,Toronto Blue Jays,AL,162,5536,753,1434,344,24,165,719,533,1044,57,22,0.259,0.327,0.419,0.746,6197,47,33,48,127,1462,0.87,2321,32,0.29,33.55
2007,20,,Seattle Mariners,AL,162,5684,794,1629,284,22,153,754,389,861,81,30,0.287,0.337,0.425,0.762,6209,62,33,40,154,1729,1.12,2416,32,0.313,37.15
2007,21,,Chicago Cubs,NL,162,5643,752,1530,340,28,151,711,500,1054,86,33,0.271,0.333,0.422,0.755,6268,40,48,37,127,1627,1.07,2379,48,0.308,37.37
2007,22,,Pittsburgh Pirates,NL,162,5569,724,1463,322,31,148,694,463,1135,68,30,0.263,0.325,0.411,0.736,6214,71,60,51,130,1521,0.97,2291,31,0.303,37.63
2007,23,,Baltimore Orioles,AL,162,5631,756,1529,306,30,142,718,500,939,144,42,0.272,0.333,0.412,0.745,6264,47,38,47,139,1650,1.03,2321,31,0.302,39.66
